timestamp;CH4;CO;O3;Gaz Fluorés;Particules;N2O;CFH
2025-09-09T18:44:18.941Z;21.39;34.3;10.94;16.15;4.38;13.42;4.49
2025-09-09T21:44:18.941Z;11.11;28.86;23.05;24.67;20.96;23.71;20.44
2025-09-10T00:44:18.941Z;23.01;14.42;12.94;17.92;21.14;39.05;14.54
2025-09-10T03:44:18.941Z;19.93;19.83;41.15;23.27;38.81;37.91;30.33
2025-09-10T06:44:18.941Z;10.09;26.4;40.09;20.0;48.23;1.53;32.02
2025-09-10T09:44:18.941Z;14.87;11.64;14.72;15.13;27.07;39.89;35.14
2025-09-10T12:44:18.941Z;21.1;45.78;14.11;8.27;23.57;31.03;19.23
2025-09-10T15:44:18.941Z;15.07;35.74;36.23;36.27;22.71;49.5;30.05
2025-09-10T18:44:18.941Z;24.61;32.34;18.98;46.82;48.26;7.78;17.88
2025-09-10T21:44:18.941Z;16.92;42.99;34.49;41.19;5.74;31.61;18.48
2025-09-11T00:44:18.941Z;18.18;25.51;11.22;15.88;36.7;7.08;16.36
2025-09-11T03:44:18.941Z;15.85;33.45;49.07;7.56;42.06;45.59;47.35
2025-09-11T06:44:18.941Z;11.76;5.95;43.11;43.88;33.85;8.03;45.44
2025-09-11T09:44:18.941Z;24.65;49.28;47.61;42.01;12.33;45.6;7.44
2025-09-11T12:44:18.941Z;18.65;42.47;0.3;13.95;45.01;45.94;13.1
2025-09-11T15:44:18.941Z;13.45;1.07;22.84;0.35;14.52;10.28;24.76
2025-09-11T18:44:18.941Z;14.5;13.72;11.84;8.61;5.89;30.25;5.18
2025-09-11T21:44:18.941Z;14.51;40.36;20.7;20.17;30.25;44.97;34.85
2025-09-12T00:44:18.941Z;10.72;29.61;9.73;9.42;45.04;28.23;38.7
2025-09-12T03:44:18.941Z;10.56;6.15;31.55;10.49;33.03;18.58;2.41
2025-09-12T06:44:18.941Z;11.14;22.77;42.32;3.02;11.15;0.09;12.55
2025-09-12T09:44:18.941Z;22.61;29.3;36.02;19.13;41.24;8.59;0.94
2025-09-12T12:44:18.941Z;13.78;21.43;26.44;2.73;1.22;17.16;45.17
2025-09-12T15:44:18.941Z;19.88;20.07;31.89;42.15;22.1;29.24;39.01
2025-09-12T18:44:18.941Z;15.83;14.74;22.28;19.87;30.05;23.72;0.87
2025-09-12T21:44:18.941Z;19.72;26.19;30.13;4.15;46.85;40.21;9.75
2025-09-13T00:44:18.941Z;11.66;22.18;6.93;1.71;17.39;47.75;41.64
2025-09-13T03:44:18.941Z;20.62;18.16;3.44;19.38;44.68;7.19;29.73
2025-09-13T06:44:18.941Z;13.78;13.1;40.95;46.86;31.42;49.89;23.02
2025-09-13T09:44:18.941Z;22.39;19.51;9.77;2.65;40.31;8.46;40.69
2025-09-13T12:44:18.941Z;22.07;47.34;27.7;37.43;2.66;28.27;13.06
2025-09-13T15:44:18.941Z;12.97;25.71;44.32;14.63;36.65;10.81;22.8
2025-09-13T18:44:18.941Z;21.16;23.23;40.73;12.33;44.97;22.25;9.61
2025-09-13T21:44:18.941Z;14.16;15.19;44.89;14.79;42.81;25.87;2.05
2025-09-14T00:44:18.941Z;15.73;36.31;4.48;27.17;41.09;34.8;10.69
2025-09-14T03:44:18.941Z;24.2;37.83;21.03;30.84;9.75;23.95;27.12
2025-09-14T06:44:18.941Z;23.52;44.65;12.47;33.18;37.59;9.82;29.3
2025-09-14T09:44:18.941Z;19.4;5.07;12.59;25.54;12.25;42.6;49.11
2025-09-14T12:44:18.941Z;23.27;35.23;7.97;30.24;33.94;33.56;21.4
2025-09-14T15:44:18.941Z;14.67;31.64;22.01;47.33;21.2;24.05;10.49
2025-09-14T18:44:18.941Z;11.78;40.98;38.85;24.24;13.84;34.08;42.67
2025-09-14T21:44:18.941Z;19.51;49.19;37.3;49.92;0.54;27.32;43.98
2025-09-15T00:44:18.941Z;20.38;31.39;27.35;43.29;24.66;49.51;4.17
2025-09-15T03:44:18.941Z;19.48;10.47;41.02;47.9;6.18;45.14;38.87
2025-09-15T06:44:18.941Z;10.36;33.56;31.17;21.01;3.03;0.98;47.13
2025-09-15T09:44:18.941Z;13.63;6.73;12.29;8.98;39.05;48.13;44.43
2025-09-15T12:44:18.941Z;16.5;48.68;22.27;18.25;40.82;5.71;8.33
2025-09-15T15:44:18.941Z;20.18;9.57;18.57;46.73;41.1;16.32;30.16
2025-09-15T18:44:18.941Z;18.84;0.31;21.46;0.13;29.69;1.98;47.74
2025-09-15T21:44:18.941Z;16.01;2.32;27.3;48.29;42.42;32.07;36.02
2025-09-16T00:44:18.941Z;20.87;27.13;8.42;18.92;18.15;2.4;17.86
2025-09-16T03:44:18.941Z;24.39;14.19;46.53;37.28;31.55;15.62;43.65
2025-09-16T06:44:18.941Z;23.0;41.76;40.42;8.87;15.72;2.85;37.41
2025-09-16T09:44:18.941Z;24.33;5.45;44.36;36.4;27.49;1.14;4.92
2025-09-16T12:44:18.941Z;17.19;40.08;7.42;6.51;25.92;27.76;12.69
2025-09-16T15:44:18.941Z;12.95;12.9;1.0;38.87;42.0;29.25;49.51
2025-09-16T18:44:18.941Z;14.6;31.59;3.1;3.51;40.77;20.12;38.62
2025-09-16T21:44:18.941Z;10.76;2.89;15.21;33.3;29.24;43.96;29.6
2025-09-17T00:44:18.941Z;14.73;19.58;19.23;43.13;39.96;13.18;8.65
2025-09-17T03:44:18.941Z;19.17;34.9;10.76;30.96;25.7;30.18;14.83
2025-09-17T06:44:18.941Z;21.97;16.17;36.89;25.37;38.74;4.7;20.74
2025-09-17T09:44:18.941Z;14.97;34.26;22.59;30.27;33.13;8.54;4.76
2025-09-17T12:44:18.941Z;23.68;25.81;4.22;29.77;36.05;36.12;44.8
2025-09-17T15:44:18.941Z;11.63;4.09;22.71;37.25;13.27;29.35;32.68
2025-09-17T18:44:18.941Z;12.01;46.53;11.3;48.13;42.35;35.2;18.62
2025-09-17T21:44:18.941Z;19.03;28.92;3.31;15.12;19.71;45.02;33.05
2025-09-18T00:44:18.941Z;10.16;27.86;10.45;37.44;4.39;35.68;3.2
2025-09-18T03:44:18.941Z;19.2;36.52;15.66;10.2;41.02;0.5;22.97
2025-09-18T06:44:18.941Z;19.01;3.95;5.43;5.85;49.88;23.88;40.28
2025-09-18T09:44:18.941Z;16.59;0.86;39.31;40.36;32.3;7.46;49.55
2025-09-18T12:44:18.941Z;21.36;35.79;11.25;20.99;44.56;42.26;43.86
2025-09-18T15:44:18.941Z;17.8;4.98;34.53;16.87;44.4;11.0;24.54
2025-09-18T18:44:18.941Z;20.06;45.92;48.18;14.7;1.95;13.87;48.41
2025-09-18T21:44:18.941Z;12.11;8.04;43.17;2.31;27.87;18.5;38.95
2025-09-19T00:44:18.941Z;10.3;7.27;25.73;13.55;49.64;26.35;49.7
2025-09-19T03:44:18.941Z;16.63;3.21;11.77;41.25;7.49;48.19;9.73
2025-09-19T06:44:18.941Z;22.22;18.2;4.17;48.14;25.79;40.29;34.76
2025-09-19T09:44:18.941Z;14.34;2.37;5.06;39.28;32.97;6.18;13.93
2025-09-19T12:44:18.941Z;16.25;23.64;24.98;34.06;32.29;11.11;45.79
2025-09-19T15:44:18.941Z;15.26;13.7;14.56;31.21;20.2;34.46;33.73
2025-09-19T18:44:18.941Z;17.91;29.48;16.03;35.83;11.73;5.93;34.59
2025-09-19T21:44:18.941Z;16.88;3.75;1.66;0.28;11.23;31.94;13.8
2025-09-20T00:44:18.941Z;20.66;6.11;35.65;6.04;37.73;30.12;14.74
2025-09-20T03:44:18.941Z;21.1;36.12;8.97;5.89;47.19;13.77;45.69
2025-09-20T06:44:18.941Z;22.03;4.13;42.04;49.32;34.44;3.42;40.81
2025-09-20T09:44:18.941Z;13.34;28.65;6.66;10.64;24.39;15.73;31.28
2025-09-20T12:44:18.941Z;24.48;43.29;40.95;5.05;10.72;40.14;45.05
2025-09-20T15:44:18.941Z;10.69;7.04;25.04;41.45;2.11;32.59;20.45
2025-09-20T18:44:18.941Z;16.93;11.78;36.33;36.89;48.73;6.6;9.41
2025-09-20T21:44:18.941Z;22.83;12.67;27.32;9.8;5.85;32.23;0.21
2025-09-21T00:44:18.941Z;19.62;46.48;3.95;14.1;25.79;8.85;45.31
2025-09-21T03:44:18.941Z;16.97;48.91;11.72;28.99;35.94;6.86;10.59
2025-09-21T06:44:18.941Z;13.31;16.63;26.34;33.31;48.65;14.81;31.64
2025-09-21T09:44:18.941Z;19.18;12.96;11.49;6.36;8.57;7.06;38.67
2025-09-21T12:44:18.941Z;19.2;35.44;1.33;30.86;2.63;46.99;5.04
2025-09-21T15:44:18.941Z;16.12;11.35;30.25;13.12;41.34;19.56;26.23
2025-09-21T18:44:18.941Z;12.58;40.19;16.5;13.32;46.25;48.71;46.28
2025-09-21T21:44:18.941Z;12.33;25.06;27.69;0.49;25.32;42.34;23.84
2025-09-22T00:44:18.941Z;19.42;14.14;30.36;48.62;22.8;30.43;0.46
2025-09-22T03:44:18.941Z;16.11;1.26;11.61;33.22;41.41;10.77;36.36
2025-09-22T06:44:18.941Z;13.79;30.66;31.6;13.59;19.77;7.23;26.94
2025-09-22T09:44:18.941Z;17.52;3.75;11.54;1.12;15.88;30.97;26.06
2025-09-22T12:44:18.941Z;22.38;25.03;9.86;14.58;45.97;42.27;4.91
2025-09-22T15:44:18.941Z;24.3;7.95;28.77;34.69;38.24;26.09;28.63
2025-09-22T18:44:18.941Z;10.15;33.39;40.01;33.86;5.17;29.94;7.66
2025-09-22T21:44:18.941Z;23.31;35.04;27.85;22.59;44.57;12.67;35.77
2025-09-23T00:44:18.941Z;12.06;19.69;11.87;44.9;26.84;21.85;42.87
2025-09-23T03:44:18.941Z;22.46;23.05;42.44;12.17;33.77;7.72;20.47
2025-09-23T06:44:18.941Z;21.19;0.87;5.2;46.71;20.83;11.38;33.68
2025-09-23T09:44:18.941Z;13.7;47.22;42.51;25.25;45.25;10.45;26.77
2025-09-23T12:44:18.941Z;10.87;12.35;33.78;3.35;44.06;22.83;27.3
2025-09-23T15:44:18.941Z;21.3;11.1;22.13;3.0;19.86;8.22;22.76
2025-09-23T18:44:18.941Z;13.95;17.64;31.66;23.2;4.2;1.23;5.14
2025-09-23T21:44:18.941Z;12.76;19.21;18.2;1.51;39.91;11.99;19.96
2025-09-24T00:44:18.941Z;17.56;4.83;47.81;17.31;9.84;9.63;9.12
2025-09-24T03:44:18.941Z;20.72;43.59;31.16;42.7;49.61;46.77;47.36
2025-09-24T06:44:18.941Z;23.9;29.74;13.04;37.97;45.88;10.55;6.9
2025-09-24T09:44:18.941Z;23.34;46.91;33.8;13.23;23.44;27.82;29.85
2025-09-24T12:44:18.941Z;19.07;0.75;10.14;9.25;43.05;43.22;25.4
2025-09-24T15:44:18.941Z;13.67;34.87;14.28;31.68;9.43;45.36;29.64
2025-09-24T18:44:18.941Z;16.39;23.59;20.93;4.42;45.71;13.88;19.32
2025-09-24T21:44:18.941Z;24.16;45.08;25.74;39.24;0.68;38.89;45.85
2025-09-25T00:44:18.941Z;16.14;0.73;49.11;46.69;24.34;11.67;20.57
2025-09-25T03:44:18.941Z;24.97;16.96;42.11;2.0;0.66;6.12;32.13
2025-09-25T06:44:18.941Z;20.49;15.94;11.51;22.52;27.47;36.67;25.29
2025-09-25T09:44:18.941Z;10.72;23.59;15.41;39.86;7.46;8.55;14.42
2025-09-25T12:44:18.941Z;11.72;17.12;23.5;40.36;22.98;33.44;13.78
2025-09-25T15:44:18.941Z;18.44;14.67;27.98;20.89;18.91;39.34;5.07
2025-09-25T18:44:18.941Z;16.2;35.76;27.36;10.24;24.43;13.27;30.22
2025-09-25T21:44:18.941Z;22.06;29.45;12.08;24.85;45.62;28.09;40.4
2025-09-26T00:44:18.941Z;14.96;34.58;43.76;10.98;2.72;29.79;8.58
2025-09-26T03:44:18.941Z;12.43;23.5;35.44;20.49;10.86;33.47;46.72
2025-09-26T06:44:18.941Z;23.74;17.69;48.19;20.73;19.88;29.58;19.25
2025-09-26T09:44:18.941Z;16.16;35.94;30.2;12.42;42.17;42.07;1.61
2025-09-26T12:44:18.941Z;15.12;25.26;6.21;19.35;19.61;47.86;39.18
2025-09-26T15:44:18.941Z;21.26;28.12;24.16;11.66;25.91;17.91;7.12
2025-09-26T18:44:18.941Z;14.47;3.79;10.44;12.45;11.6;6.25;36.03
2025-09-26T21:44:18.941Z;13.93;48.57;1.43;45.27;2.46;44.17;36.65
2025-09-27T00:44:18.941Z;13.08;10.91;36.07;12.37;13.24;24.63;20.93
2025-09-27T03:44:18.941Z;17.29;46.7;40.07;35.75;33.42;35.4;19.15
2025-09-27T06:44:18.941Z;13.39;26.06;39.72;0.99;45.0;47.15;4.89
2025-09-27T09:44:18.941Z;13.79;16.54;1.55;13.96;12.95;23.22;11.8
2025-09-27T12:44:18.941Z;24.33;13.04;13.4;8.87;21.0;16.36;32.18
2025-09-27T15:44:18.941Z;10.31;1.45;10.26;13.82;4.16;1.52;43.78
2025-09-27T18:44:18.941Z;24.22;41.48;39.57;10.82;40.54;28.98;0.31
