timestamp;CO2;N2O;CH4
2025-12-18T18:26:30.531000Z;23.86;1.38;549.17
2025-12-18T18:36:30.531000Z;12.81;1.32;495.54
2025-12-18T18:46:30.531000Z;18.23;2.21;528.08
2025-12-18T18:56:30.531000Z;10.57;1.49;402.69
2025-12-18T19:06:30.531000Z;12.74;1.05;545.63
2025-12-18T19:16:30.531000Z;19.55;0.2;535.3
2025-12-18T19:26:30.531000Z;11.99;0.12;534.3
2025-12-18T19:36:30.531000Z;19.3;1.47;532.35
2025-12-18T19:46:30.531000Z;23.96;1.29;444.55
2025-12-18T19:56:30.531000Z;20.76;0.11;536.6
2025-12-18T20:06:30.531000Z;13.17;0.51;436.95
2025-12-18T20:16:30.531000Z;16.28;1.19;539.86
2025-12-18T20:26:30.531000Z;15.76;0.58;447.82
2025-12-18T20:36:30.531000Z;15.17;2.39;451.63
2025-12-18T20:46:30.531000Z;10.73;1.7;483.65
2025-12-18T20:56:30.531000Z;21.66;1.46;492.41
2025-12-18T21:06:30.531000Z;17.72;2.06;499.7
2025-12-18T21:16:30.531000Z;15.15;1.12;426.4
2025-12-18T21:26:30.531000Z;11.86;0.1;544.53
2025-12-18T21:36:30.531000Z;22.3;2.32;435.0
2025-12-18T21:46:30.531000Z;15.94;0.51;519.96
2025-12-18T21:56:30.531000Z;20.02;0.35;422.67
2025-12-18T22:06:30.531000Z;16.18;0.4;433.31
2025-12-18T22:16:30.531000Z;15.54;0.57;459.54
2025-12-18T22:26:30.531000Z;10.33;1.79;447.01
2025-12-18T22:36:30.531000Z;12.13;1.35;443.85
2025-12-18T22:46:30.531000Z;15.21;1.51;483.95
2025-12-18T22:56:30.531000Z;15.98;0.46;482.4
2025-12-18T23:06:30.531000Z;18.89;1.37;498.27
2025-12-18T23:16:30.531000Z;14.55;1.87;469.92
2025-12-18T23:26:30.531000Z;14.57;1.88;505.13
2025-12-18T23:36:30.531000Z;20.76;2.42;409.95
2025-12-18T23:46:30.531000Z;10.08;2.09;517.24
2025-12-18T23:56:30.531000Z;13.81;0.83;421.23
2025-12-19T00:06:30.531000Z;20.2;0.83;542.15
2025-12-19T00:16:30.531000Z;10.46;2.18;494.8
2025-12-19T00:26:30.531000Z;22.32;2.41;459.12
2025-12-19T00:36:30.531000Z;13.52;1.64;454.52
2025-12-19T00:46:30.531000Z;16.84;1.15;422.29
2025-12-19T00:56:30.531000Z;16.55;2.16;408.82
2025-12-19T01:06:30.531000Z;14.04;0.21;489.63
2025-12-19T01:16:30.531000Z;21.08;0.88;539.86
2025-12-19T01:26:30.531000Z;22.82;1.84;512.82
2025-12-19T01:36:30.531000Z;11.42;2.13;472.52
2025-12-19T01:46:30.531000Z;21.98;0.23;403.88
2025-12-19T01:56:30.531000Z;19.94;2.16;400.64
2025-12-19T02:06:30.531000Z;19.27;0.82;451.05
2025-12-19T02:16:30.531000Z;13.7;1.42;461.1
2025-12-19T02:26:30.531000Z;10.45;1.81;537.3
2025-12-19T02:36:30.531000Z;24.62;1.09;477.4
2025-12-19T02:46:30.531000Z;14.41;1.59;400.3
2025-12-19T02:56:30.531000Z;15.42;2.2;504.21
2025-12-19T03:06:30.531000Z;21.44;0.19;534.65
2025-12-19T03:16:30.531000Z;17.85;2.27;533.57
2025-12-19T03:26:30.531000Z;13.59;0.98;490.91
2025-12-19T03:36:30.531000Z;24.62;0.94;517.31
2025-12-19T03:46:30.531000Z;19.81;0.11;427.54
2025-12-19T03:56:30.531000Z;15.03;1.44;461.64
2025-12-19T04:06:30.531000Z;15.81;1.88;512.62
2025-12-19T04:16:30.531000Z;23.23;0.77;477.21
2025-12-19T04:26:30.531000Z;21.06;0.95;540.13
2025-12-19T04:36:30.531000Z;22.22;1.87;545.26
2025-12-19T04:46:30.531000Z;14.56;0.52;431.72
2025-12-19T04:56:30.531000Z;16.51;1.91;510.25
2025-12-19T05:06:30.531000Z;24.5;0.53;473.45
2025-12-19T05:16:30.531000Z;13.29;0.44;481.66
2025-12-19T05:26:30.531000Z;17.96;0.42;542.63
2025-12-19T05:36:30.531000Z;16.25;2.32;413.61
2025-12-19T05:46:30.531000Z;19.24;1.78;460.04
2025-12-19T05:56:30.531000Z;13.68;2.12;548.28
2025-12-19T06:06:30.531000Z;20.97;2.48;488.55
2025-12-19T06:16:30.531000Z;10.24;1.75;493.5
2025-12-19T06:26:30.531000Z;15.88;2.26;437.87
2025-12-19T06:36:30.531000Z;23.73;1.58;410.77
2025-12-19T06:46:30.531000Z;16.78;0.17;484.94
2025-12-19T06:56:30.531000Z;11.99;1.71;502.48
2025-12-19T07:06:30.531000Z;18.62;2.47;417.0
2025-12-19T07:16:30.531000Z;23.13;1.55;528.87
2025-12-19T07:26:30.531000Z;19.59;0.25;539.7
2025-12-19T07:36:30.531000Z;24.09;0.74;448.29
2025-12-19T07:46:30.531000Z;22.05;1.05;543.91
2025-12-19T07:56:30.531000Z;24.22;2.27;507.19
2025-12-19T08:06:30.531000Z;11.92;1.14;418.16
2025-12-19T08:16:30.531000Z;12.42;1.15;460.25
2025-12-19T08:26:30.531000Z;15.07;1.98;511.21
2025-12-19T08:36:30.531000Z;14.99;1.51;516.1
2025-12-19T08:46:30.531000Z;15.69;1.76;520.08
2025-12-19T08:56:30.531000Z;23.84;1.92;514.51
2025-12-19T09:06:30.531000Z;15.64;1.02;495.29
2025-12-19T09:16:30.531000Z;17.42;0.66;462.98
2025-12-19T09:26:30.531000Z;20.91;1.14;536.45
2025-12-19T09:36:30.531000Z;10.48;1.08;542.37
2025-12-19T09:46:30.531000Z;20.28;0.11;434.19
2025-12-19T09:56:30.531000Z;15.89;2.08;546.42
2025-12-19T10:06:30.531000Z;15.79;2.12;496.22
2025-12-19T10:16:30.531000Z;18.05;1.93;514.07
2025-12-19T10:26:30.531000Z;18.35;2.21;471.87
2025-12-19T10:36:30.531000Z;24.87;0.94;430.89
2025-12-19T10:46:30.531000Z;15.71;0.53;519.19
2025-12-19T10:56:30.531000Z;10.2;0.29;408.76
2025-12-19T11:06:30.531000Z;19.08;2.01;461.44
2025-12-19T11:16:30.531000Z;10.18;0.2;458.7
2025-12-19T11:26:30.531000Z;13.51;2.43;509.09
2025-12-19T11:36:30.531000Z;11.4;0.34;411.58
2025-12-19T11:46:30.531000Z;14.89;2.04;511.04
2025-12-19T11:56:30.531000Z;12.25;0.35;526.46
2025-12-19T12:06:30.531000Z;14.29;0.28;407.1
2025-12-19T12:16:30.531000Z;21.5;2.27;412.74
2025-12-19T12:26:30.531000Z;18.23;2.34;444.9
2025-12-19T12:36:30.531000Z;19.44;2.04;470.83
2025-12-19T12:46:30.531000Z;16.68;1.34;517.53
2025-12-19T12:56:30.531000Z;19.34;1.22;426.43
2025-12-19T13:06:30.531000Z;21.39;1.72;426.63
2025-12-19T13:16:30.531000Z;11.1;0.16;502.84
2025-12-19T13:26:30.531000Z;11.44;0.32;484.36
2025-12-19T13:36:30.531000Z;18.32;0.13;492.69
2025-12-19T13:46:30.531000Z;21.44;1.77;431.43
2025-12-19T13:56:30.531000Z;13.94;0.38;512.89
2025-12-19T14:06:30.531000Z;10.63;1.23;406.63
2025-12-19T14:16:30.531000Z;11.33;0.91;427.34
2025-12-19T14:26:30.531000Z;12.46;0.32;468.0
2025-12-19T14:36:30.531000Z;16.17;2.11;507.94
2025-12-19T14:46:30.531000Z;16.91;1.83;508.94
2025-12-19T14:56:30.531000Z;17.73;1.4;544.93
2025-12-19T15:06:30.531000Z;18.15;2.22;477.74
2025-12-19T15:16:30.531000Z;10.99;1.67;501.17
2025-12-19T15:26:30.531000Z;14.06;0.79;427.44
2025-12-19T15:36:30.531000Z;13.9;0.86;461.94
2025-12-19T15:46:30.531000Z;11.3;1.74;440.25
2025-12-19T15:56:30.531000Z;10.51;1.81;518.37
2025-12-19T16:06:30.531000Z;19.43;0.92;426.79
2025-12-19T16:16:30.531000Z;10.64;2.03;525.36
2025-12-19T16:26:30.531000Z;17.21;2.49;473.29
2025-12-19T16:36:30.531000Z;21.29;0.59;478.68
2025-12-19T16:46:30.531000Z;14.27;0.25;442.85
2025-12-19T16:56:30.531000Z;14.87;0.55;470.0
2025-12-19T17:06:30.531000Z;17.73;2.05;440.51
2025-12-19T17:16:30.531000Z;18.66;2.28;540.67
2025-12-19T17:26:30.531000Z;11.36;0.65;448.56
2025-12-19T17:36:30.531000Z;18.26;2.4;505.5
2025-12-19T17:46:30.531000Z;19.79;0.31;425.14
2025-12-19T17:56:30.531000Z;14.22;0.75;492.15
2025-12-19T18:06:30.531000Z;10.32;0.44;537.22
2025-12-19T18:16:30.531000Z;19.11;1.32;400.58
2025-12-19T18:26:30.531000Z;16.36;0.88;404.8
2025-12-19T18:36:30.531000Z;22.58;1.48;522.3
2025-12-19T18:46:30.531000Z;14.5;0.49;446.39
2025-12-19T18:56:30.531000Z;17.94;1.67;523.12
2025-12-19T19:06:30.531000Z;24.52;1.63;513.06
2025-12-19T19:16:30.531000Z;19.19;2.1;462.61
2025-12-19T19:26:30.531000Z;16.74;0.39;511.66
2025-12-19T19:36:30.531000Z;15.04;1.62;417.86
2025-12-19T19:46:30.531000Z;18.18;1.16;528.19
2025-12-19T19:56:30.531000Z;21.14;2.1;424.98
2025-12-19T20:06:30.531000Z;16.72;2.0;526.9
2025-12-19T20:16:30.531000Z;21.29;1.95;476.41
2025-12-19T20:26:30.531000Z;21.74;0.61;442.07
2025-12-19T20:36:30.531000Z;22.98;1.6;423.92
2025-12-19T20:46:30.531000Z;16.12;0.49;416.15
2025-12-19T20:56:30.531000Z;13.87;1.47;450.03
2025-12-19T21:06:30.531000Z;20.51;1.33;478.26
2025-12-19T21:16:30.531000Z;20.51;0.11;452.06
2025-12-19T21:26:30.531000Z;11.58;0.34;503.06
2025-12-19T21:36:30.531000Z;21.13;0.26;462.43
2025-12-19T21:46:30.531000Z;19.06;0.25;505.12
2025-12-19T21:56:30.531000Z;22.48;1.91;425.05
2025-12-19T22:06:30.531000Z;22.71;2.1;548.53
2025-12-19T22:16:30.531000Z;18.93;2.43;513.9
2025-12-19T22:26:30.531000Z;15.74;0.11;531.65
2025-12-19T22:36:30.531000Z;18.08;2.47;488.44
2025-12-19T22:46:30.531000Z;23.5;2.3;540.44
2025-12-19T22:56:30.531000Z;23.36;2.27;424.52
2025-12-19T23:06:30.531000Z;12.52;1.99;512.42
2025-12-19T23:16:30.531000Z;10.84;1.7;454.96
2025-12-19T23:26:30.531000Z;11.84;0.48;504.6
2025-12-19T23:36:30.531000Z;13.18;1.86;419.63
2025-12-19T23:46:30.531000Z;22.24;1.05;547.25
2025-12-19T23:56:30.531000Z;14.19;1.39;500.45
2025-12-20T00:06:30.531000Z;20.61;1.64;536.58
2025-12-20T00:16:30.531000Z;21.32;1.41;544.54
2025-12-20T00:26:30.531000Z;11.36;0.72;428.9
2025-12-20T00:36:30.531000Z;23.35;1.88;429.05
2025-12-20T00:46:30.531000Z;14.99;1.72;427.41
2025-12-20T00:56:30.531000Z;18.6;1.76;411.6
2025-12-20T01:06:30.531000Z;11.86;1.88;526.29
2025-12-20T01:16:30.531000Z;21.1;1.67;434.14
2025-12-20T01:26:30.531000Z;11.89;1.46;429.53
2025-12-20T01:36:30.531000Z;23.56;1.49;429.22
2025-12-20T01:46:30.531000Z;22.61;1.0;453.04
2025-12-20T01:56:30.531000Z;12.84;0.85;435.5
2025-12-20T02:06:30.531000Z;16.17;2.47;496.05
2025-12-20T02:16:30.531000Z;15.26;1.56;470.29
2025-12-20T02:26:30.531000Z;18.95;1.86;517.56
2025-12-20T02:36:30.531000Z;18.16;2.03;518.69
2025-12-20T02:46:30.531000Z;15.7;1.84;440.9
2025-12-20T02:56:30.531000Z;13.09;0.22;461.8
2025-12-20T03:06:30.531000Z;22.77;0.96;503.0
2025-12-20T03:16:30.531000Z;19.86;1.04;401.61
2025-12-20T03:26:30.531000Z;19.66;0.21;446.51
2025-12-20T03:36:30.531000Z;10.16;0.8;481.39
2025-12-20T03:46:30.531000Z;24.9;0.67;410.77
2025-12-20T03:56:30.531000Z;14.24;0.71;417.42
2025-12-20T04:06:30.531000Z;24.04;0.54;538.06
2025-12-20T04:16:30.531000Z;12.91;0.96;432.1
2025-12-20T04:26:30.531000Z;17.16;0.39;527.68
2025-12-20T04:36:30.531000Z;21.67;1.6;425.47
2025-12-20T04:46:30.531000Z;10.59;1.33;440.25
2025-12-20T04:56:30.531000Z;14.97;2.3;448.36
2025-12-20T05:06:30.531000Z;20.74;1.22;445.32
2025-12-20T05:16:30.531000Z;24.29;1.56;477.59
2025-12-20T05:26:30.531000Z;10.18;0.47;480.47
2025-12-20T05:36:30.531000Z;18.52;0.63;423.42
2025-12-20T05:46:30.531000Z;18.88;2.33;482.71
2025-12-20T05:56:30.531000Z;22.48;1.64;488.38
2025-12-20T06:06:30.531000Z;19.55;2.37;544.7
2025-12-20T06:16:30.531000Z;14.19;2.31;420.3
2025-12-20T06:26:30.531000Z;14.58;0.37;504.37
2025-12-20T06:36:30.531000Z;20.47;0.34;410.75
2025-12-20T06:46:30.531000Z;15.18;1.06;404.05
2025-12-20T06:56:30.531000Z;23.51;1.09;485.23
2025-12-20T07:06:30.531000Z;18.14;1.14;533.49
2025-12-20T07:16:30.531000Z;17.62;2.34;497.26
2025-12-20T07:26:30.531000Z;15.6;1.91;422.19
2025-12-20T07:36:30.531000Z;20.25;1.85;533.78
2025-12-20T07:46:30.531000Z;20.35;0.99;478.36
2025-12-20T07:56:30.531000Z;12.11;1.03;493.53
2025-12-20T08:06:30.531000Z;14.48;1.88;491.21
2025-12-20T08:16:30.531000Z;18.38;0.98;493.94
2025-12-20T08:26:30.531000Z;23.39;2.04;431.5
2025-12-20T08:36:30.531000Z;23.27;2.01;402.37
2025-12-20T08:46:30.531000Z;19.9;2.03;442.85
2025-12-20T08:56:30.531000Z;15.07;0.65;544.74
2025-12-20T09:06:30.531000Z;10.03;0.19;508.31
2025-12-20T09:16:30.531000Z;22.71;0.98;404.45
2025-12-20T09:26:30.531000Z;24.12;0.9;471.2
2025-12-20T09:36:30.531000Z;13.43;2.27;491.11
2025-12-20T09:46:30.531000Z;21.48;2.37;549.17
2025-12-20T09:56:30.531000Z;23.63;2.49;506.01
2025-12-20T10:06:30.531000Z;19.65;2.29;478.54
2025-12-20T10:16:30.531000Z;22.89;1.79;406.77
2025-12-20T10:26:30.531000Z;15.65;0.4;484.48
2025-12-20T10:36:30.531000Z;11.08;1.63;470.24
2025-12-20T10:46:30.531000Z;18.49;2.49;465.48
2025-12-20T10:56:30.531000Z;24.42;2.26;531.42
2025-12-20T11:06:30.531000Z;24.68;1.81;477.48
2025-12-20T11:16:30.531000Z;16.79;0.59;525.01
2025-12-20T11:26:30.531000Z;12.25;0.48;414.75
2025-12-20T11:36:30.531000Z;17.49;0.18;542.98
2025-12-20T11:46:30.531000Z;16.63;1.95;405.83
2025-12-20T11:56:30.531000Z;19.11;0.58;529.68
2025-12-20T12:06:30.531000Z;14.81;0.15;482.44
2025-12-20T12:16:30.531000Z;20.24;1.17;480.2
2025-12-20T12:26:30.531000Z;24.24;1.9;478.81
2025-12-20T12:36:30.531000Z;18.76;0.84;405.64
2025-12-20T12:46:30.531000Z;23.48;2.32;530.83
2025-12-20T12:56:30.531000Z;21.7;0.82;508.84
2025-12-20T13:06:30.531000Z;24.75;2.48;447.59
2025-12-20T13:16:30.531000Z;23.88;0.27;445.21
2025-12-20T13:26:30.531000Z;16.69;1.04;418.4
2025-12-20T13:36:30.531000Z;15.74;2.33;539.19
2025-12-20T13:46:30.531000Z;13.96;0.51;458.13
2025-12-20T13:56:30.531000Z;12.84;1.85;534.4
2025-12-20T14:06:30.531000Z;21.51;1.79;444.64
2025-12-20T14:16:30.531000Z;24.16;2.0;539.29
2025-12-20T14:26:30.531000Z;18.48;2.04;462.51
2025-12-20T14:36:30.531000Z;11.57;2.07;497.24
2025-12-20T14:46:30.531000Z;15.2;0.32;451.32
2025-12-20T14:56:30.531000Z;23.49;0.64;488.12
2025-12-20T15:06:30.531000Z;15.09;1.89;505.79
2025-12-20T15:16:30.531000Z;16.13;0.36;410.83
2025-12-20T15:26:30.531000Z;19.25;2.12;418.87
2025-12-20T15:36:30.531000Z;23.04;0.1;528.54
2025-12-20T15:46:30.531000Z;15.6;0.42;503.18
2025-12-20T15:56:30.531000Z;23.13;0.49;428.24
2025-12-20T16:06:30.531000Z;15.66;0.7;513.99
2025-12-20T16:16:30.531000Z;10.09;1.66;435.79
2025-12-20T16:26:30.531000Z;23.92;1.24;505.68
2025-12-20T16:36:30.531000Z;14.33;2.2;469.29
2025-12-20T16:46:30.531000Z;20.52;1.92;448.32
2025-12-20T16:56:30.531000Z;21.35;0.31;400.42
2025-12-20T17:06:30.531000Z;24.46;1.62;451.1
2025-12-20T17:16:30.531000Z;15.8;0.48;420.03
2025-12-20T17:26:30.531000Z;13.04;0.18;431.06
2025-12-20T17:36:30.531000Z;24.81;1.16;524.07
2025-12-20T17:46:30.531000Z;10.38;1.88;529.77
2025-12-20T17:56:30.531000Z;12.63;1.33;433.19
2025-12-20T18:06:30.531000Z;19.72;0.66;541.49
2025-12-20T18:16:30.531000Z;17.33;0.51;456.75
2025-12-20T18:26:30.531000Z;20.57;0.52;505.96
2025-12-20T18:36:30.531000Z;18.36;1.21;427.36
2025-12-20T18:46:30.531000Z;16.66;1.11;544.46
2025-12-20T18:56:30.531000Z;14.84;1.36;531.1
2025-12-20T19:06:30.531000Z;19.96;2.01;416.45
2025-12-20T19:16:30.531000Z;16.45;1.42;545.53
2025-12-20T19:26:30.531000Z;23.6;1.44;459.42
2025-12-20T19:36:30.531000Z;18.2;1.63;490.34
2025-12-20T19:46:30.531000Z;10.15;0.62;412.36
2025-12-20T19:56:30.531000Z;16.16;0.44;404.85
2025-12-20T20:06:30.531000Z;17.28;1.71;415.52
2025-12-20T20:16:30.531000Z;23.06;1.21;505.39
2025-12-20T20:26:30.531000Z;23.2;0.5;453.31
2025-12-20T20:36:30.531000Z;11.63;2.29;504.74
2025-12-20T20:46:30.531000Z;10.65;2.0;450.41
2025-12-20T20:56:30.531000Z;24.1;2.07;444.97
2025-12-20T21:06:30.531000Z;21.91;0.72;415.77
2025-12-20T21:16:30.531000Z;11.79;1.26;513.12
2025-12-20T21:26:30.531000Z;24.29;2.23;468.39
2025-12-20T21:36:30.531000Z;21.37;1.71;406.51
2025-12-20T21:46:30.531000Z;14.65;1.16;525.39
2025-12-20T21:56:30.531000Z;14.46;0.78;445.89
2025-12-20T22:06:30.531000Z;19.54;0.52;420.93
2025-12-20T22:16:30.531000Z;10.69;1.41;455.79
2025-12-20T22:26:30.531000Z;19.84;1.34;540.9
2025-12-20T22:36:30.531000Z;22.98;0.59;528.03
2025-12-20T22:46:30.531000Z;21.49;1.51;529.77
2025-12-20T22:56:30.531000Z;23.55;0.41;502.4
2025-12-20T23:06:30.531000Z;13.67;1.13;457.14
2025-12-20T23:16:30.531000Z;12.61;0.95;507.65
2025-12-20T23:26:30.531000Z;20.74;0.92;530.47
2025-12-20T23:36:30.531000Z;24.8;0.96;458.18
2025-12-20T23:46:30.531000Z;12.34;1.56;518.58
2025-12-20T23:56:30.531000Z;16.16;2.25;417.02
2025-12-21T00:06:30.531000Z;20.72;2.0;451.89
2025-12-21T00:16:30.531000Z;17.07;0.18;536.85
2025-12-21T00:26:30.531000Z;19.56;2.18;501.24
2025-12-21T00:36:30.531000Z;10.61;1.24;465.04
2025-12-21T00:46:30.531000Z;24.51;1.86;484.23
2025-12-21T00:56:30.531000Z;24.49;1.12;528.73
2025-12-21T01:06:30.531000Z;13.11;2.12;466.96
2025-12-21T01:16:30.531000Z;15.76;2.5;532.16
2025-12-21T01:26:30.531000Z;19.46;0.13;447.45
2025-12-21T01:36:30.531000Z;17.99;1.22;508.13
2025-12-21T01:46:30.531000Z;21.46;1.97;457.71
2025-12-21T01:56:30.531000Z;20.65;2.11;425.59
2025-12-21T02:06:30.531000Z;14.22;0.81;514.1
2025-12-21T02:16:30.531000Z;12.22;0.6;407.43
2025-12-21T02:26:30.531000Z;24.33;0.41;504.33
2025-12-21T02:36:30.531000Z;10.34;1.52;449.13
2025-12-21T02:46:30.531000Z;15.17;2.3;413.39
2025-12-21T02:56:30.531000Z;20.55;2.34;536.44
2025-12-21T03:06:30.531000Z;12.12;1.42;411.38
2025-12-21T03:16:30.531000Z;17.14;0.41;413.76
2025-12-21T03:26:30.531000Z;12.87;0.44;529.44
2025-12-21T03:36:30.531000Z;12.3;0.78;423.26
2025-12-21T03:46:30.531000Z;15.72;1.13;529.17
2025-12-21T03:56:30.531000Z;23.22;1.27;441.78
2025-12-21T04:06:30.531000Z;23.97;0.46;518.15
2025-12-21T04:16:30.531000Z;19.31;1.63;542.41
2025-12-21T04:26:30.531000Z;15.22;1.7;506.59
2025-12-21T04:36:30.531000Z;15.73;0.67;411.16
2025-12-21T04:46:30.531000Z;14.83;1.8;508.48
2025-12-21T04:56:30.531000Z;17.58;0.23;536.03
2025-12-21T05:06:30.531000Z;24.89;1.5;481.21
2025-12-21T05:16:30.531000Z;17.3;0.15;474.68
2025-12-21T05:26:30.531000Z;12.15;0.34;502.64
2025-12-21T05:36:30.531000Z;14.31;1.38;449.7
2025-12-21T05:46:30.531000Z;10.68;0.45;528.66
2025-12-21T05:56:30.531000Z;20.43;1.31;463.93
2025-12-21T06:06:30.531000Z;21.94;1.93;433.17
2025-12-21T06:16:30.531000Z;15.2;1.0;427.21
2025-12-21T06:26:30.531000Z;11.59;0.41;478.54
2025-12-21T06:36:30.531000Z;14.53;1.47;512.77
2025-12-21T06:46:30.531000Z;10.54;1.43;537.5
2025-12-21T06:56:30.531000Z;12.61;1.73;500.84
2025-12-21T07:06:30.531000Z;14.25;0.73;485.31
2025-12-21T07:16:30.531000Z;13.0;1.19;503.83
2025-12-21T07:26:30.531000Z;10.08;1.12;442.9
2025-12-21T07:36:30.531000Z;22.21;1.52;461.74
2025-12-21T07:46:30.531000Z;23.56;0.11;548.03
2025-12-21T07:56:30.531000Z;20.45;0.95;484.36
2025-12-21T08:06:30.531000Z;10.52;2.13;511.41
2025-12-21T08:16:30.531000Z;10.89;0.97;469.31
2025-12-21T08:26:30.531000Z;23.86;0.15;548.95
2025-12-21T08:36:30.531000Z;10.1;0.76;409.53
2025-12-21T08:46:30.531000Z;20.02;1.99;469.64
2025-12-21T08:56:30.531000Z;16.06;0.23;482.26
2025-12-21T09:06:30.531000Z;19.34;2.33;474.36
2025-12-21T09:16:30.531000Z;12.38;1.7;537.69
2025-12-21T09:26:30.531000Z;16.38;1.07;466.29
2025-12-21T09:36:30.531000Z;11.82;1.4;504.28
2025-12-21T09:46:30.531000Z;11.73;1.58;492.49
