timestamp;CH4;CO;CO2
2025-12-18T14:26:30.531000Z;22.29;1.84;490.76
2025-12-18T14:36:30.531000Z;12.69;0.79;532.37
2025-12-18T14:46:30.531000Z;24.92;1.19;543.24
2025-12-18T14:56:30.531000Z;22.16;1.98;494.65
2025-12-18T15:06:30.531000Z;14.03;1.31;452.98
2025-12-18T15:16:30.531000Z;18.27;0.92;402.38
2025-12-18T15:26:30.531000Z;10.31;2.05;475.7
2025-12-18T15:36:30.531000Z;16.4;1.61;497.89
2025-12-18T15:46:30.531000Z;24.72;0.93;423.56
2025-12-18T15:56:30.531000Z;18.8;1.58;487.54
2025-12-18T16:06:30.531000Z;22.56;0.3;496.56
2025-12-18T16:16:30.531000Z;14.26;0.23;531.48
2025-12-18T16:26:30.531000Z;20.97;0.25;417.37
2025-12-18T16:36:30.531000Z;22.79;1.0;528.65
2025-12-18T16:46:30.531000Z;14.63;2.24;449.58
2025-12-18T16:56:30.531000Z;10.5;2.24;496.48
2025-12-18T17:06:30.531000Z;12.16;1.05;458.68
2025-12-18T17:16:30.531000Z;22.71;1.61;487.79
2025-12-18T17:26:30.531000Z;19.2;1.08;406.48
2025-12-18T17:36:30.531000Z;16.37;0.37;480.58
2025-12-18T17:46:30.531000Z;15.86;1.92;464.08
2025-12-18T17:56:30.531000Z;13.39;0.82;493.8
2025-12-18T18:06:30.531000Z;17.67;2.04;413.86
2025-12-18T18:16:30.531000Z;13.43;1.17;443.27
2025-12-18T18:26:30.531000Z;20.17;0.63;413.62
2025-12-18T18:36:30.531000Z;11.83;0.74;424.87
2025-12-18T18:46:30.531000Z;13.1;2.06;475.83
2025-12-18T18:56:30.531000Z;23.28;2.02;417.41
2025-12-18T19:06:30.531000Z;24.63;1.1;467.4
2025-12-18T19:16:30.531000Z;10.94;1.61;540.8
2025-12-18T19:26:30.531000Z;13.54;0.72;503.66
2025-12-18T19:36:30.531000Z;12.86;2.33;503.16
2025-12-18T19:46:30.531000Z;15.1;2.39;503.58
2025-12-18T19:56:30.531000Z;21.24;1.95;425.84
2025-12-18T20:06:30.531000Z;19.92;2.24;408.69
2025-12-18T20:16:30.531000Z;17.85;0.66;501.68
2025-12-18T20:26:30.531000Z;17.32;2.46;474.8
2025-12-18T20:36:30.531000Z;17.94;0.54;432.16
2025-12-18T20:46:30.531000Z;23.88;0.38;545.9
2025-12-18T20:56:30.531000Z;22.1;0.48;505.45
2025-12-18T21:06:30.531000Z;20.82;1.45;450.77
2025-12-18T21:16:30.531000Z;11.01;1.63;406.39
2025-12-18T21:26:30.531000Z;22.57;0.15;540.65
2025-12-18T21:36:30.531000Z;10.29;0.59;454.7
2025-12-18T21:46:30.531000Z;17.9;2.26;415.21
2025-12-18T21:56:30.531000Z;23.0;1.34;487.32
2025-12-18T22:06:30.531000Z;22.19;1.74;497.44
2025-12-18T22:16:30.531000Z;21.21;1.25;400.49
2025-12-18T22:26:30.531000Z;16.29;1.14;479.12
2025-12-18T22:36:30.531000Z;15.89;1.51;473.22
2025-12-18T22:46:30.531000Z;17.35;0.41;488.87
2025-12-18T22:56:30.531000Z;18.31;2.32;527.97
2025-12-18T23:06:30.531000Z;17.95;0.17;415.93
2025-12-18T23:16:30.531000Z;15.9;1.79;518.44
2025-12-18T23:26:30.531000Z;23.56;0.43;477.67
2025-12-18T23:36:30.531000Z;23.58;1.43;421.77
2025-12-18T23:46:30.531000Z;11.16;0.26;527.51
2025-12-18T23:56:30.531000Z;21.04;0.9;403.83
2025-12-19T00:06:30.531000Z;15.2;1.86;548.69
2025-12-19T00:16:30.531000Z;23.0;0.49;549.57
2025-12-19T00:26:30.531000Z;11.53;0.89;469.45
2025-12-19T00:36:30.531000Z;13.82;1.35;431.82
2025-12-19T00:46:30.531000Z;20.28;2.23;441.38
2025-12-19T00:56:30.531000Z;19.69;1.55;472.22
2025-12-19T01:06:30.531000Z;19.93;0.98;516.7
2025-12-19T01:16:30.531000Z;22.37;1.55;459.87
2025-12-19T01:26:30.531000Z;23.88;2.33;464.42
2025-12-19T01:36:30.531000Z;21.39;1.22;496.02
2025-12-19T01:46:30.531000Z;13.85;1.58;425.86
2025-12-19T01:56:30.531000Z;19.92;0.21;504.85
2025-12-19T02:06:30.531000Z;20.11;1.84;539.16
2025-12-19T02:16:30.531000Z;14.06;0.99;492.79
2025-12-19T02:26:30.531000Z;16.69;1.86;469.9
2025-12-19T02:36:30.531000Z;10.43;2.38;476.76
2025-12-19T02:46:30.531000Z;22.77;0.99;442.62
2025-12-19T02:56:30.531000Z;24.25;1.24;533.24
2025-12-19T03:06:30.531000Z;15.07;1.16;525.62
2025-12-19T03:16:30.531000Z;24.59;0.37;473.99
2025-12-19T03:26:30.531000Z;11.61;0.3;541.9
2025-12-19T03:36:30.531000Z;19.85;0.47;543.28
2025-12-19T03:46:30.531000Z;19.66;1.13;472.06
2025-12-19T03:56:30.531000Z;17.59;1.91;450.02
2025-12-19T04:06:30.531000Z;23.38;0.57;548.26
2025-12-19T04:16:30.531000Z;21.5;1.44;446.88
2025-12-19T04:26:30.531000Z;11.94;0.82;462.31
2025-12-19T04:36:30.531000Z;11.79;0.7;496.61
2025-12-19T04:46:30.531000Z;24.13;2.09;506.96
2025-12-19T04:56:30.531000Z;14.4;2.1;417.17
2025-12-19T05:06:30.531000Z;18.08;2.42;465.6
2025-12-19T05:16:30.531000Z;11.27;1.77;451.92
2025-12-19T05:26:30.531000Z;19.72;0.74;466.19
2025-12-19T05:36:30.531000Z;11.18;2.29;527.5
2025-12-19T05:46:30.531000Z;11.07;1.43;404.8
2025-12-19T05:56:30.531000Z;24.4;1.13;528.74
2025-12-19T06:06:30.531000Z;14.1;1.79;412.06
2025-12-19T06:16:30.531000Z;12.21;1.37;412.22
2025-12-19T06:26:30.531000Z;20.25;2.12;538.56
2025-12-19T06:36:30.531000Z;21.27;1.62;541.29
2025-12-19T06:46:30.531000Z;14.53;1.12;413.87
2025-12-19T06:56:30.531000Z;22.77;0.41;544.49
2025-12-19T07:06:30.531000Z;16.52;0.35;541.08
2025-12-19T07:16:30.531000Z;11.29;1.11;427.46
2025-12-19T07:26:30.531000Z;16.57;2.38;507.0
2025-12-19T07:36:30.531000Z;13.91;2.21;466.31
2025-12-19T07:46:30.531000Z;24.22;0.24;484.96
2025-12-19T07:56:30.531000Z;10.7;1.26;443.0
2025-12-19T08:06:30.531000Z;12.48;1.34;423.48
2025-12-19T08:16:30.531000Z;15.98;0.46;496.95
2025-12-19T08:26:30.531000Z;19.38;1.8;412.9
2025-12-19T08:36:30.531000Z;15.63;2.2;525.51
2025-12-19T08:46:30.531000Z;11.17;1.36;407.12
2025-12-19T08:56:30.531000Z;17.3;0.57;544.03
2025-12-19T09:06:30.531000Z;22.31;2.3;470.32
2025-12-19T09:16:30.531000Z;19.68;0.17;545.06
2025-12-19T09:26:30.531000Z;16.22;1.7;519.77
2025-12-19T09:36:30.531000Z;13.97;1.22;539.62
2025-12-19T09:46:30.531000Z;15.93;0.49;473.32
2025-12-19T09:56:30.531000Z;10.11;1.44;457.27
2025-12-19T10:06:30.531000Z;19.37;0.23;468.54
2025-12-19T10:16:30.531000Z;12.19;1.7;526.78
2025-12-19T10:26:30.531000Z;17.76;1.72;457.18
2025-12-19T10:36:30.531000Z;20.68;0.61;493.6
2025-12-19T10:46:30.531000Z;18.1;0.16;517.46
2025-12-19T10:56:30.531000Z;23.82;1.37;442.91
2025-12-19T11:06:30.531000Z;19.16;1.31;426.47
2025-12-19T11:16:30.531000Z;20.42;0.84;443.26
2025-12-19T11:26:30.531000Z;13.09;0.35;417.53
2025-12-19T11:36:30.531000Z;14.17;0.77;476.47
2025-12-19T11:46:30.531000Z;22.14;1.77;485.18
2025-12-19T11:56:30.531000Z;14.47;0.36;474.81
2025-12-19T12:06:30.531000Z;19.38;0.6;456.66
2025-12-19T12:16:30.531000Z;19.57;2.39;482.53
2025-12-19T12:26:30.531000Z;23.57;1.0;504.09
2025-12-19T12:36:30.531000Z;20.96;0.45;436.46
2025-12-19T12:46:30.531000Z;10.79;0.4;546.09
2025-12-19T12:56:30.531000Z;12.84;1.63;424.7
2025-12-19T13:06:30.531000Z;20.11;1.63;508.11
2025-12-19T13:16:30.531000Z;13.81;0.63;441.46
2025-12-19T13:26:30.531000Z;22.6;0.56;465.45
2025-12-19T13:36:30.531000Z;13.75;1.28;507.53
2025-12-19T13:46:30.531000Z;17.78;1.4;405.5
2025-12-19T13:56:30.531000Z;20.85;0.96;524.13
2025-12-19T14:06:30.531000Z;23.29;0.37;436.02
2025-12-19T14:16:30.531000Z;11.41;1.95;478.7
2025-12-19T14:26:30.531000Z;12.23;1.1;456.85
2025-12-19T14:36:30.531000Z;15.27;1.12;431.28
2025-12-19T14:46:30.531000Z;20.78;1.58;424.34
2025-12-19T14:56:30.531000Z;23.56;0.92;414.13
2025-12-19T15:06:30.531000Z;22.15;0.8;507.54
2025-12-19T15:16:30.531000Z;22.43;1.75;503.31
2025-12-19T15:26:30.531000Z;12.66;0.62;519.2
2025-12-19T15:36:30.531000Z;13.0;1.29;504.09
2025-12-19T15:46:30.531000Z;16.02;1.57;475.08
2025-12-19T15:56:30.531000Z;23.85;0.62;423.1
2025-12-19T16:06:30.531000Z;12.75;1.84;477.8
2025-12-19T16:16:30.531000Z;20.98;1.33;520.39
2025-12-19T16:26:30.531000Z;19.37;0.41;407.39
2025-12-19T16:36:30.531000Z;10.26;0.76;423.97
2025-12-19T16:46:30.531000Z;18.92;0.47;449.38
2025-12-19T16:56:30.531000Z;20.11;2.24;453.15
2025-12-19T17:06:30.531000Z;22.59;2.36;407.5
2025-12-19T17:16:30.531000Z;12.41;1.42;473.53
2025-12-19T17:26:30.531000Z;15.96;0.81;488.57
2025-12-19T17:36:30.531000Z;16.52;0.54;404.64
2025-12-19T17:46:30.531000Z;13.47;0.66;402.91
2025-12-19T17:56:30.531000Z;11.59;2.37;514.46
2025-12-19T18:06:30.531000Z;16.41;1.57;454.35
2025-12-19T18:16:30.531000Z;24.93;2.25;506.68
2025-12-19T18:26:30.531000Z;21.33;1.32;525.0
2025-12-19T18:36:30.531000Z;13.79;1.78;420.96
2025-12-19T18:46:30.531000Z;12.22;2.31;549.91
2025-12-19T18:56:30.531000Z;24.23;2.01;450.87
2025-12-19T19:06:30.531000Z;23.59;1.71;496.96
2025-12-19T19:16:30.531000Z;24.87;1.42;508.94
2025-12-19T19:26:30.531000Z;11.43;0.42;459.41
2025-12-19T19:36:30.531000Z;17.88;1.81;459.63
2025-12-19T19:46:30.531000Z;12.57;0.51;411.03
2025-12-19T19:56:30.531000Z;16.52;1.43;523.25
2025-12-19T20:06:30.531000Z;19.87;0.13;435.39
2025-12-19T20:16:30.531000Z;24.57;2.22;532.08
2025-12-19T20:26:30.531000Z;14.99;1.51;484.02
2025-12-19T20:36:30.531000Z;16.47;0.4;471.04
2025-12-19T20:46:30.531000Z;20.67;1.58;514.56
2025-12-19T20:56:30.531000Z;17.33;0.61;452.74
2025-12-19T21:06:30.531000Z;24.89;1.1;470.03
2025-12-19T21:16:30.531000Z;19.28;0.12;455.83
2025-12-19T21:26:30.531000Z;24.8;1.55;484.9
2025-12-19T21:36:30.531000Z;14.92;2.0;531.55
2025-12-19T21:46:30.531000Z;13.39;2.24;401.49
2025-12-19T21:56:30.531000Z;17.96;2.35;427.97
2025-12-19T22:06:30.531000Z;12.36;1.11;441.82
2025-12-19T22:16:30.531000Z;19.72;0.64;468.23
2025-12-19T22:26:30.531000Z;23.57;1.75;405.29
2025-12-19T22:36:30.531000Z;16.69;1.19;441.64
2025-12-19T22:46:30.531000Z;16.49;0.17;548.09
2025-12-19T22:56:30.531000Z;12.71;1.41;457.76
2025-12-19T23:06:30.531000Z;18.39;1.96;433.33
2025-12-19T23:16:30.531000Z;17.81;1.81;504.19
2025-12-19T23:26:30.531000Z;16.08;1.22;508.29
2025-12-19T23:36:30.531000Z;21.58;2.44;467.31
2025-12-19T23:46:30.531000Z;15.11;1.25;419.77
2025-12-19T23:56:30.531000Z;23.6;2.18;503.69
2025-12-20T00:06:30.531000Z;18.68;1.6;446.74
2025-12-20T00:16:30.531000Z;11.77;0.81;456.38
2025-12-20T00:26:30.531000Z;16.31;1.19;514.32
2025-12-20T00:36:30.531000Z;12.03;1.2;536.41
2025-12-20T00:46:30.531000Z;16.61;1.63;426.35
2025-12-20T00:56:30.531000Z;20.14;1.36;491.05
2025-12-20T01:06:30.531000Z;11.03;1.37;456.05
2025-12-20T01:16:30.531000Z;16.25;1.16;518.7
2025-12-20T01:26:30.531000Z;19.21;1.91;542.08
2025-12-20T01:36:30.531000Z;16.43;0.29;458.51
2025-12-20T01:46:30.531000Z;17.18;1.17;501.0
2025-12-20T01:56:30.531000Z;16.86;0.39;505.78
2025-12-20T02:06:30.531000Z;21.49;0.89;471.29
2025-12-20T02:16:30.531000Z;24.48;2.1;464.99
2025-12-20T02:26:30.531000Z;18.77;0.25;400.24
2025-12-20T02:36:30.531000Z;16.07;2.23;448.04
2025-12-20T02:46:30.531000Z;17.46;0.75;472.21
2025-12-20T02:56:30.531000Z;12.77;2.14;494.19
2025-12-20T03:06:30.531000Z;20.29;2.2;441.73
2025-12-20T03:16:30.531000Z;21.56;1.45;402.55
2025-12-20T03:26:30.531000Z;21.91;0.32;430.12
2025-12-20T03:36:30.531000Z;16.49;1.96;513.47
2025-12-20T03:46:30.531000Z;24.66;0.9;523.92
2025-12-20T03:56:30.531000Z;13.67;2.41;446.71
2025-12-20T04:06:30.531000Z;24.52;0.64;520.39
2025-12-20T04:16:30.531000Z;20.6;1.01;444.81
2025-12-20T04:26:30.531000Z;12.67;1.04;413.54
2025-12-20T04:36:30.531000Z;11.94;0.22;523.58
2025-12-20T04:46:30.531000Z;11.74;2.46;513.9
2025-12-20T04:56:30.531000Z;18.89;2.01;518.67
2025-12-20T05:06:30.531000Z;20.0;2.42;453.24
2025-12-20T05:16:30.531000Z;18.99;2.41;452.55
2025-12-20T05:26:30.531000Z;14.15;1.7;479.96
2025-12-20T05:36:30.531000Z;22.29;2.46;546.2
2025-12-20T05:46:30.531000Z;17.01;1.06;418.49
2025-12-20T05:56:30.531000Z;20.37;1.88;482.27
2025-12-20T06:06:30.531000Z;23.88;2.46;478.41
2025-12-20T06:16:30.531000Z;17.92;1.8;415.05
2025-12-20T06:26:30.531000Z;13.26;2.35;442.72
2025-12-20T06:36:30.531000Z;24.09;0.37;469.86
2025-12-20T06:46:30.531000Z;10.2;2.1;486.32
2025-12-20T06:56:30.531000Z;16.92;1.4;470.97
2025-12-20T07:06:30.531000Z;13.69;1.12;496.97
2025-12-20T07:16:30.531000Z;21.26;2.29;433.83
2025-12-20T07:26:30.531000Z;11.88;1.33;417.78
2025-12-20T07:36:30.531000Z;23.93;0.43;482.82
2025-12-20T07:46:30.531000Z;12.8;2.15;473.73
2025-12-20T07:56:30.531000Z;10.42;1.01;430.03
2025-12-20T08:06:30.531000Z;10.16;1.86;489.66
2025-12-20T08:16:30.531000Z;23.54;1.6;507.17
2025-12-20T08:26:30.531000Z;24.3;1.83;447.54
2025-12-20T08:36:30.531000Z;22.33;2.12;416.94
2025-12-20T08:46:30.531000Z;13.43;1.18;440.83
2025-12-20T08:56:30.531000Z;20.28;1.82;446.54
2025-12-20T09:06:30.531000Z;22.36;0.2;498.2
2025-12-20T09:16:30.531000Z;23.38;1.23;502.36
2025-12-20T09:26:30.531000Z;21.51;2.04;500.07
2025-12-20T09:36:30.531000Z;16.59;0.37;442.85
2025-12-20T09:46:30.531000Z;20.21;2.02;485.66
2025-12-20T09:56:30.531000Z;21.7;2.1;490.01
2025-12-20T10:06:30.531000Z;13.92;0.61;497.18
2025-12-20T10:16:30.531000Z;24.78;1.95;534.39
2025-12-20T10:26:30.531000Z;15.35;2.19;499.99
2025-12-20T10:36:30.531000Z;10.54;1.36;519.76
2025-12-20T10:46:30.531000Z;18.53;2.21;481.07
2025-12-20T10:56:30.531000Z;14.31;1.54;453.08
2025-12-20T11:06:30.531000Z;24.9;1.67;473.37
2025-12-20T11:16:30.531000Z;14.26;2.29;400.29
2025-12-20T11:26:30.531000Z;10.87;0.59;458.57
2025-12-20T11:36:30.531000Z;16.07;2.08;531.02
2025-12-20T11:46:30.531000Z;14.24;0.28;434.52
2025-12-20T11:56:30.531000Z;13.05;2.48;514.27
2025-12-20T12:06:30.531000Z;23.07;1.44;537.92
2025-12-20T12:16:30.531000Z;16.14;0.73;456.62
2025-12-20T12:26:30.531000Z;20.18;1.6;414.41
2025-12-20T12:36:30.531000Z;16.38;1.37;421.16
2025-12-20T12:46:30.531000Z;22.58;1.44;428.61
2025-12-20T12:56:30.531000Z;16.71;0.99;523.89
2025-12-20T13:06:30.531000Z;14.14;1.25;491.27
2025-12-20T13:16:30.531000Z;23.29;0.7;400.71
2025-12-20T13:26:30.531000Z;22.87;1.51;480.98
2025-12-20T13:36:30.531000Z;11.39;2.42;548.64
2025-12-20T13:46:30.531000Z;13.07;0.71;458.96
2025-12-20T13:56:30.531000Z;19.51;2.32;459.28
2025-12-20T14:06:30.531000Z;16.85;0.91;510.31
2025-12-20T14:16:30.531000Z;20.52;2.08;420.06
2025-12-20T14:26:30.531000Z;20.85;1.08;430.48
2025-12-20T14:36:30.531000Z;23.94;0.16;448.28
2025-12-20T14:46:30.531000Z;22.08;0.8;457.05
2025-12-20T14:56:30.531000Z;17.44;2.45;506.38
2025-12-20T15:06:30.531000Z;22.51;1.48;450.55
2025-12-20T15:16:30.531000Z;12.68;1.25;506.42
2025-12-20T15:26:30.531000Z;13.62;1.25;521.43
2025-12-20T15:36:30.531000Z;24.2;0.45;421.32
2025-12-20T15:46:30.531000Z;18.62;1.35;544.64
2025-12-20T15:56:30.531000Z;12.04;2.34;420.14
2025-12-20T16:06:30.531000Z;11.45;2.44;432.32
2025-12-20T16:16:30.531000Z;14.07;0.7;437.94
2025-12-20T16:26:30.531000Z;15.97;0.95;496.6
2025-12-20T16:36:30.531000Z;18.52;2.03;424.73
2025-12-20T16:46:30.531000Z;24.11;1.77;526.14
2025-12-20T16:56:30.531000Z;15.14;2.4;454.97
2025-12-20T17:06:30.531000Z;14.79;1.47;468.66
2025-12-20T17:16:30.531000Z;23.06;2.17;468.72
2025-12-20T17:26:30.531000Z;24.41;0.68;443.74
2025-12-20T17:36:30.531000Z;14.37;2.34;436.97
2025-12-20T17:46:30.531000Z;22.81;1.59;495.24
2025-12-20T17:56:30.531000Z;12.65;2.4;503.8
2025-12-20T18:06:30.531000Z;23.26;0.18;544.88
2025-12-20T18:16:30.531000Z;14.17;0.51;501.58
2025-12-20T18:26:30.531000Z;15.48;0.8;456.35
2025-12-20T18:36:30.531000Z;18.74;2.13;527.6
2025-12-20T18:46:30.531000Z;24.92;0.7;482.1
2025-12-20T18:56:30.531000Z;24.33;1.15;465.31
2025-12-20T19:06:30.531000Z;18.59;2.1;493.11
2025-12-20T19:16:30.531000Z;15.88;1.44;448.55
2025-12-20T19:26:30.531000Z;18.32;0.2;546.71
2025-12-20T19:36:30.531000Z;22.13;2.1;546.56
2025-12-20T19:46:30.531000Z;20.3;1.05;549.52
2025-12-20T19:56:30.531000Z;16.84;1.34;475.05
2025-12-20T20:06:30.531000Z;21.18;0.39;506.3
2025-12-20T20:16:30.531000Z;14.12;0.57;438.16
2025-12-20T20:26:30.531000Z;22.1;1.53;536.49
2025-12-20T20:36:30.531000Z;16.15;0.43;448.77
2025-12-20T20:46:30.531000Z;12.1;1.73;489.09
2025-12-20T20:56:30.531000Z;10.93;1.32;470.99
2025-12-20T21:06:30.531000Z;24.68;1.33;494.49
2025-12-20T21:16:30.531000Z;12.4;1.23;441.29
2025-12-20T21:26:30.531000Z;19.32;0.55;412.6
2025-12-20T21:36:30.531000Z;20.96;1.61;407.55
2025-12-20T21:46:30.531000Z;21.54;0.65;439.5
2025-12-20T21:56:30.531000Z;10.65;1.36;435.13
2025-12-20T22:06:30.531000Z;18.61;0.68;437.74
2025-12-20T22:16:30.531000Z;17.92;0.54;499.25
2025-12-20T22:26:30.531000Z;20.07;2.33;412.9
2025-12-20T22:36:30.531000Z;13.12;0.58;414.8
2025-12-20T22:46:30.531000Z;23.6;0.57;548.57
2025-12-20T22:56:30.531000Z;14.31;0.47;446.38
2025-12-20T23:06:30.531000Z;23.95;0.6;477.72
2025-12-20T23:16:30.531000Z;20.27;1.15;428.61
2025-12-20T23:26:30.531000Z;15.94;0.32;529.9
2025-12-20T23:36:30.531000Z;11.59;0.65;441.14
2025-12-20T23:46:30.531000Z;19.41;1.51;403.23
2025-12-20T23:56:30.531000Z;13.46;0.72;494.45
2025-12-21T00:06:30.531000Z;17.75;0.3;432.52
2025-12-21T00:16:30.531000Z;14.62;2.33;477.46
2025-12-21T00:26:30.531000Z;22.51;1.29;407.78
2025-12-21T00:36:30.531000Z;19.92;1.32;412.76
2025-12-21T00:46:30.531000Z;17.78;2.01;416.21
2025-12-21T00:56:30.531000Z;24.09;1.74;537.49
2025-12-21T01:06:30.531000Z;24.32;0.79;475.04
2025-12-21T01:16:30.531000Z;21.01;1.7;466.0
2025-12-21T01:26:30.531000Z;18.42;2.41;506.36
2025-12-21T01:36:30.531000Z;21.9;1.04;503.17
2025-12-21T01:46:30.531000Z;14.87;0.66;451.29
2025-12-21T01:56:30.531000Z;12.02;1.6;523.28
2025-12-21T02:06:30.531000Z;11.16;0.73;517.86
2025-12-21T02:16:30.531000Z;21.72;1.36;549.48
2025-12-21T02:26:30.531000Z;18.02;1.63;508.3
2025-12-21T02:36:30.531000Z;23.96;2.07;466.46
2025-12-21T02:46:30.531000Z;18.42;0.85;425.09
2025-12-21T02:56:30.531000Z;21.32;1.71;512.52
2025-12-21T03:06:30.531000Z;24.33;0.43;424.8
2025-12-21T03:16:30.531000Z;18.4;2.31;494.83
2025-12-21T03:26:30.531000Z;11.62;1.27;531.63
2025-12-21T03:36:30.531000Z;12.83;0.58;454.33
2025-12-21T03:46:30.531000Z;16.38;0.68;542.75
2025-12-21T03:56:30.531000Z;17.15;1.16;493.99
2025-12-21T04:06:30.531000Z;11.77;0.64;529.72
2025-12-21T04:16:30.531000Z;11.8;0.85;513.98
2025-12-21T04:26:30.531000Z;13.33;1.56;421.8
2025-12-21T04:36:30.531000Z;18.03;1.34;426.66
2025-12-21T04:46:30.531000Z;15.29;1.31;431.33
2025-12-21T04:56:30.531000Z;16.71;0.41;456.46
2025-12-21T05:06:30.531000Z;23.45;1.32;408.84
2025-12-21T05:16:30.531000Z;15.95;0.82;450.18
2025-12-21T05:26:30.531000Z;13.45;0.25;507.82
2025-12-21T05:36:30.531000Z;24.61;0.39;478.62
2025-12-21T05:46:30.531000Z;17.99;0.23;515.57
2025-12-21T05:56:30.531000Z;16.37;0.79;533.2
2025-12-21T06:06:30.531000Z;22.78;0.51;535.17
2025-12-21T06:16:30.531000Z;14.49;1.17;484.93
2025-12-21T06:26:30.531000Z;21.74;2.18;530.44
2025-12-21T06:36:30.531000Z;20.02;1.71;427.39
2025-12-21T06:46:30.531000Z;14.43;1.45;506.87
2025-12-21T06:56:30.531000Z;14.17;0.35;523.06
2025-12-21T07:06:30.531000Z;13.4;0.83;533.43
2025-12-21T07:16:30.531000Z;13.4;1.78;426.27
2025-12-21T07:26:30.531000Z;14.86;2.04;446.94
2025-12-21T07:36:30.531000Z;14.94;0.42;480.19
2025-12-21T07:46:30.531000Z;21.35;1.51;498.33
2025-12-21T07:56:30.531000Z;11.4;1.71;431.44
2025-12-21T08:06:30.531000Z;10.04;0.48;541.69
2025-12-21T08:16:30.531000Z;24.69;1.75;532.38
2025-12-21T08:26:30.531000Z;15.03;1.32;496.73
2025-12-21T08:36:30.531000Z;17.8;1.15;481.89
2025-12-21T08:46:30.531000Z;11.07;0.71;449.2
2025-12-21T08:56:30.531000Z;13.35;1.53;481.67
2025-12-21T09:06:30.531000Z;23.67;1.41;406.58
2025-12-21T09:16:30.531000Z;24.42;0.16;546.83
2025-12-21T09:26:30.531000Z;16.06;0.32;453.43
2025-12-21T09:36:30.531000Z;18.64;1.04;477.01
2025-12-21T09:46:30.531000Z;12.34;0.86;508.54
